Type,Localisation,Latitude,Longitude,Title,Price in DH,Tags,Tags_length,Area in m²,Rooms,Bedrooms,Bathrooms,Condition,Floor,House Age in ans
Appartements Casablanca,Les princesses à Casablanca,33.56170473792227,-7.630379283521052,Appartement 121m Haut Standing A Les Princesses,1810000.0,"['121 m²', '4 Pièces', '2 Chambres', '2 Salles de bains', 'Bon état']",5,121.0,4.0,2.0,2.0,Bon état,3.0,15
Appartements Casablanca,Les princesses à Casablanca,33.56170473792227,-7.630379283521052,Appartement 131m Haut Standing A Les Princesses,1950000.0,"['131 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état']",5,131.0,4.0,3.0,2.0,Bon état,3.0,15
Appartements Casablanca,Les princesses à Casablanca,33.57154299116339,-7.636313438415527,Appartement 130m Neuf Luxe A Les Princesses,2500000.0,"['130 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Nouveau']",5,130.0,4.0,3.0,2.0,Nouveau,3.0,15
Appartements Casablanca,Les Hôpitaux à Casablanca,33.56170473792227,-7.630379283521052,Appartement 155m Meublé Proche Pasteur,1700000.0,"['155 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état']",5,155.0,4.0,3.0,2.0,Bon état,3.0,15
Appartements Casablanca,Maârif à Casablanca,33.56170473792227,-7.630379283521052,Studio 59m Neuf Prés BD Biranzaran,920000.0,"['59 m²', '2 Pièces', '1 Chambre', '2 Salles de bains', 'Nouveau']",5,59.0,2.0,1.0,2.0,Nouveau,3.0,15
Appartements Casablanca,Val Fleury à Casablanca,33.56170473792227,-7.630379283521052,Vend appartement 121m Luxe A Val Fleuri,1550000.0,"['121 m²', '3 Pièces', '2 Chambres', '1 Salle de bain', 'Bon état', '5-10 ans']",6,121.0,3.0,2.0,1.0,Bon état,3.0,7
Appartements Casablanca,Ain Diab à Casablanca,33.58630932470067,-7.671375274658203,Plusieurs appartements de luxe à vendre,4500000.0,"['238 m²', '4 Pièces', '3 Chambres', '4 Salles de bains', 'Nouveau', ""Moins d'un an"", '3ème étage']",7,238.0,4.0,3.0,4.0,Nouveau,3.0,0
Appartements Casablanca,Racine Extension à Casablanca,33.59056356209817,-7.640819549560547,Vente d'un joli appartement à Racine extension,3400000.0,"['198 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Bon état', '10-20 ans', '4ème étage']",7,198.0,4.0,3.0,3.0,Bon état,4.0,15
Appartements Casablanca,Racine à Casablanca,33.56170473792227,-7.630379283521052,Appartement lumineux neuf de très haut standing,2800000.0,"['107 m²', '4 Pièces', '3 Chambres', '4 Salles de bains', 'Nouveau', ""Moins d'un an"", '5ème étage']",7,107.0,4.0,3.0,4.0,Nouveau,5.0,0
Villas & maisons de luxe Casablanca,Californie à Casablanca,33.53620795401007,-7.588162422180375,"Propriété d'exception sur 4037m², Californie Casa",45000000.0,"['4037 m²', '12 Pièces', '6 Chambres', '7 Salles de bains', 'Bon état', '10-20 ans']",6,4037.0,12.0,6.0,7.0,Bon état,3.0,15
Appartements Casablanca,Gauthier à Casablanca,33.56170473792227,-7.630379283521052,"Appartement a vendre Gauthier, luxe, terasse",4200000.0,"['244 m²', '4 Pièces', '3 Chambres', '4 Salles de bains', 'Nouveau', '5-10 ans', '6ème étage']",7,244.0,4.0,3.0,4.0,Nouveau,6.0,7
Appartements Casablanca,Gauthier à Casablanca,33.58891909184207,-7.628674507141113,"Duplex 6 ème étage, terrasse ensoleillé 446m",4900000.0,"['446 m²', '6 Pièces', '5 Chambres', '4 Salles de bains', 'Bon état', '1-5 ans', '6ème étage']",7,446.0,6.0,5.0,4.0,Bon état,6.0,3
Appartements Casablanca,Gauthier à Casablanca,33.58891909184207,-7.628674507141113,Appartement a vendre sur Gauthier,3400000.0,"['229 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Bon état', '5-10 ans', '1er étage']",7,229.0,4.0,3.0,3.0,Bon état,1.0,7
Appartements Casablanca,Gauthier à Casablanca,33.56170473792227,-7.630379283521052,Appartement a vendre Gauthier,4200000.0,"['200 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Nouveau', '1-5 ans', '1er étage']",7,200.0,4.0,3.0,3.0,Nouveau,1.0,3
Appartements Casablanca,Ain Diab à Casablanca,33.56170473792227,-7.630379283521052,Rez de Jardin refait à neuf,2256000.0,"['94 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Bon état', '10-20 ans']",6,94.0,3.0,2.0,2.0,Bon état,3.0,15
Appartements Casablanca,Casablanca Finance City à Casablanca,33.5585265011327,-7.605092525482178,FAUBOURGS D'ANFA Belle terrasse sans vis à vis,2090000.0,"['99 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Nouveau', '1-5 ans', '3ème étage']",7,99.0,3.0,2.0,2.0,Nouveau,3.0,3
Appartements Casablanca,Racine à Casablanca,33.592458238962855,-7.648158073425293,"Très bel appartement à vendre, 183 m2, Racine",3500000.0,"['183 m²', '5 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état', '4ème étage']",6,183.0,5.0,3.0,2.0,Bon état,4.0,15
Appartements Casablanca,Palmier à Casablanca,33.57154299116339,-7.636313438415527,Appt a vendre a palmier sup 258 m 4 ch,3800000.0,"['258 m²', '7 Pièces', '4 Chambres', '3 Salles de bains', 'Bon état', '5-10 ans', '4ème étage']",7,258.0,7.0,4.0,3.0,Bon état,4.0,7
Appartements Casablanca,Californie à Casablanca,33.56170473792227,-7.630379283521052,Appartement Rez de jardin de 145m² en vente UTOPIA,1558920.0,"['145 m²', '3 Pièces', '2 Chambres', '2 Salles de bains']",4,145.0,3.0,2.0,2.306532663316583,Bon état,3.0,15
Appartements Casablanca,El Manar - El Hank à Casablanca,33.56170473792227,-7.630379283521052,"Appartement de 97m² en vente, Les terrasses d'anfa",4558824.761494253,"['97 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Nouveau']",5,97.0,4.0,3.0,2.0,Nouveau,3.0,15
Appartements Casablanca,Oasis à Casablanca,33.56170473792227,-7.630379283521052,Appartement au RDC de 96m² en vente Résidence Les Palmiers,1540000.0,"['96 m²', '3 Pièces', '2 Chambres', '1 Salle de bain', 'Nouveau']",5,96.0,3.0,2.0,1.0,Nouveau,3.0,15
Appartements Casablanca,Oasis à Casablanca,33.56170473792227,-7.630379283521052,Appartement de 59m² en vente Résidence Les Palmiers,1239000.0,"['59 m²', '3 Pièces', '2 Chambres', '1 Salle de bain', 'Nouveau', '1er étage']",6,59.0,3.0,2.0,1.0,Nouveau,1.0,15
Appartements Casablanca,Oasis à Casablanca,33.56170473792227,-7.630379283521052,Appartement de 59m² en vente Résidence Les Palmiers,1239000.0,"['59 m²', '2 Pièces', '1 Chambre', '1 Salle de bain', 'Nouveau', '1er étage']",6,59.0,2.0,1.0,1.0,Nouveau,1.0,15
Appartements Casablanca,Oasis à Casablanca,33.56170473792227,-7.630379283521052,Appartement de 56m² en vente Résidence Les Palmiers,1176000.0,"['56 m²', '2 Pièces', '1 Chambre', '1 Salle de bain', 'Nouveau', '1er étage']",6,56.0,2.0,1.0,1.0,Nouveau,1.0,15
Appartements Casablanca,La Gironde à Casablanca,33.56170473792227,-7.630379283521052,"Appartement de 90 m² en vente, Résidence Shangai",1035000.0,"['90 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Nouveau', '5ème étage']",6,90.0,4.0,3.0,2.0,Nouveau,5.0,15
Appartements Casablanca,Hay Lmkansa à Casablanca,33.56170473792227,-7.630379283521052,Vend appartement à Hay Lmkansa. 3 pièces confortables. Parking et terrasse,4558824.761494253,"['82 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Nouveau', '1-5 ans', '3ème étage']",7,82.0,3.0,2.0,2.0,Nouveau,3.0,3
Villas & maisons de luxe Casablanca,CIL (Hay Salam) à Casablanca,33.56170473792227,-7.630379283521052,Villa commercial dune superficie de 400m2 au cil,10400000.0,"['400 m²', '3 Pièces', '5 Chambres', '3 Salles de bains', 'À rénover', '20-30 ans']",6,400.0,3.0,5.0,3.0,À rénover,3.0,25
Villas & maisons de luxe Casablanca,Racine Extension à Casablanca,33.59056356209817,-7.640819549560547,"Magnifique villa à vendre à Racine Extension. 5 pièces confortables. Porte blindée, salon marocain",3400000.0,"['122 m²', '5 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état', '20-30 ans']",6,122.0,5.0,3.0,2.0,Bon état,3.0,25
Villas & maisons de luxe Casablanca,Les Crêtes à Casablanca,33.55269705228837,-7.616100311279297,"Magnifique villa à vendre à Les Crêtes. 4 chambres. Piscine, climatisation",9000000.0,"['800 m²', '5 Pièces', '4 Chambres', '3 Salles de bains', 'Bon état']",5,800.0,5.0,4.0,3.0,Bon état,3.0,15
Villas & maisons de luxe Casablanca,Sidi Maarouf à Casablanca,33.56170473792227,-7.630379283521052,Villa 330m2 Moderne A Islan,3900000.0,"['330 m²', '6 Pièces', '5 Chambres', '4 Salles de bains', 'Bon état']",5,330.0,6.0,5.0,4.0,Bon état,3.0,15
Appartements Casablanca,Val Fleury à Casablanca,33.57519011717882,-7.636785507202148,Appartement 77m Haut Standing A Val Fleuri Maarif,1030000.0,"['77 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Bon état']",5,77.0,3.0,2.0,2.0,Bon état,3.0,15
Appartements Casablanca,Les princesses à Casablanca,33.56170473792227,-7.630379283521052,Appartement 150m Haut Standing A Les Princesses,2200000.0,"['150 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Bon état']",5,150.0,4.0,3.0,3.0,Bon état,3.0,15
Appartements Casablanca,Maârif Extension à Casablanca,33.57987394514173,-7.646827697753906,Vente d'un bel appartement à Casablanca. 3 chambres. Ascenseur et stationnement,1650000.0,"['113 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Nouveau']",5,113.0,4.0,3.0,2.0,Nouveau,3.0,15
Appartements Casablanca,Les princesses à Casablanca,33.56170473792227,-7.630379283521052,Appartement 121m Haut Standing A Les Princesses,1810000.0,"['121 m²', '4 Pièces', '2 Chambres', '2 Salles de bains', 'Bon état']",5,121.0,4.0,2.0,2.0,Bon état,3.0,15
Appartements Casablanca,Les princesses à Casablanca,33.57154299116339,-7.636313438415527,Appartement 131m Haut Standing A Les Princesses,1950000.0,"['131 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état']",5,131.0,4.0,3.0,2.0,Bon état,3.0,15
Appartements Casablanca,Les princesses à Casablanca,33.56170473792227,-7.630379283521052,Appartement 130m Neuf Luxe A Les Princesses,2500000.0,"['130 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Nouveau']",5,130.0,4.0,3.0,2.0,Nouveau,3.0,15
Appartements Casablanca,Les Hôpitaux à Casablanca,33.56170473792227,-7.630379283521052,Appartement 155m Meublé Proche Pasteur,1700000.0,"['155 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état']",5,155.0,4.0,3.0,2.0,Bon état,3.0,15
Appartements Casablanca,Maârif à Casablanca,33.56170473792227,-7.630379283521052,Studio 59m Neuf Prés BD Biranzaran,920000.0,"['59 m²', '2 Pièces', '1 Chambre', '2 Salles de bains', 'Nouveau']",5,59.0,2.0,1.0,2.0,Nouveau,3.0,15
Appartements Casablanca,Val Fleury à Casablanca,33.56170473792227,-7.630379283521052,Vend appartement 121m Luxe A Val Fleuri,1550000.0,"['121 m²', '3 Pièces', '2 Chambres', '1 Salle de bain', 'Bon état', '5-10 ans']",6,121.0,3.0,2.0,1.0,Bon état,3.0,7
Appartements Casablanca,Ain Diab à Casablanca,33.56170473792227,-7.630379283521052,Plusieurs appartements de luxe à vendre,4500000.0,"['238 m²', '4 Pièces', '3 Chambres', '4 Salles de bains', 'Nouveau', ""Moins d'un an"", '3ème étage']",7,238.0,4.0,3.0,4.0,Nouveau,3.0,0
Appartements Casablanca,Racine Extension à Casablanca,33.59056356209817,-7.640819549560547,Vente d'un joli appartement à Racine extension,3400000.0,"['198 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Bon état', '10-20 ans', '4ème étage']",7,198.0,4.0,3.0,3.0,Bon état,4.0,15
Appartements Casablanca,Racine à Casablanca,33.592458238962855,-7.648158073425293,Appartement lumineux neuf de très haut standing,2800000.0,"['107 m²', '4 Pièces', '3 Chambres', '4 Salles de bains', 'Nouveau', ""Moins d'un an"", '5ème étage']",7,107.0,4.0,3.0,4.0,Nouveau,5.0,0
Villas & maisons de luxe Casablanca,Californie à Casablanca,33.53620795401007,-7.588162422180375,"Propriété d'exception sur 4037m², Californie Casa",45000000.0,"['4037 m²', '12 Pièces', '6 Chambres', '7 Salles de bains', 'Bon état', '10-20 ans']",6,4037.0,12.0,6.0,7.0,Bon état,3.0,15
Appartements Casablanca,Gauthier à Casablanca,33.58891909184207,-7.628674507141113,"Appartement a vendre Gauthier, luxe, terasse",4200000.0,"['244 m²', '4 Pièces', '3 Chambres', '4 Salles de bains', 'Nouveau', '5-10 ans', '6ème étage']",7,244.0,4.0,3.0,4.0,Nouveau,6.0,7
Appartements Casablanca,Gauthier à Casablanca,33.58891909184207,-7.628674507141113,"Duplex 6 ème étage, terrasse ensoleillé 446m",4900000.0,"['446 m²', '6 Pièces', '5 Chambres', '4 Salles de bains', 'Bon état', '1-5 ans', '6ème étage']",7,446.0,6.0,5.0,4.0,Bon état,6.0,3
Appartements Casablanca,Gauthier à Casablanca,33.56170473792227,-7.630379283521052,Appartement a vendre sur Gauthier,3400000.0,"['229 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Bon état', '5-10 ans', '1er étage']",7,229.0,4.0,3.0,3.0,Bon état,1.0,7
Appartements Casablanca,Gauthier à Casablanca,33.56170473792227,-7.630379283521052,Appartement a vendre Gauthier,4200000.0,"['200 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Nouveau', '1-5 ans', '1er étage']",7,200.0,4.0,3.0,3.0,Nouveau,1.0,3
Appartements Casablanca,Ain Diab à Casablanca,33.58630932470067,-7.671375274658203,Rez de Jardin refait à neuf,2256000.0,"['94 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Bon état', '10-20 ans']",6,94.0,3.0,2.0,2.0,Bon état,3.0,15
Appartements Casablanca,Casablanca Finance City à Casablanca,33.56170473792227,-7.630379283521052,FAUBOURGS D'ANFA Belle terrasse sans vis à vis,2090000.0,"['99 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Nouveau', '1-5 ans', '3ème étage']",7,99.0,3.0,2.0,2.0,Nouveau,3.0,3
Appartements Casablanca,Racine à Casablanca,33.592458238962855,-7.648158073425293,"Très bel appartement à vendre, 183 m2, Racine",3500000.0,"['183 m²', '5 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état', '4ème étage']",6,183.0,5.0,3.0,2.0,Bon état,4.0,15
Appartements Casablanca,Palmier à Casablanca,33.57154299116339,-7.636313438415527,Appt a vendre a palmier sup 258 m 4 ch,3800000.0,"['258 m²', '7 Pièces', '4 Chambres', '3 Salles de bains', 'Bon état', '5-10 ans', '4ème étage']",7,258.0,7.0,4.0,3.0,Bon état,4.0,7
Appartements Casablanca,Californie à Casablanca,33.56170473792227,-7.630379283521052,Appartement Rez de jardin de 145m² en vente UTOPIA,1558920.0,"['145 m²', '3 Pièces', '2 Chambres', '2 Salles de bains']",4,145.0,3.0,2.0,2.306532663316583,Bon état,3.0,15
Appartements Casablanca,El Manar - El Hank à Casablanca,33.56170473792227,-7.630379283521052,"Appartement de 97m² en vente, Les terrasses d'anfa",4558824.761494253,"['97 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Nouveau']",5,97.0,4.0,3.0,2.0,Nouveau,3.0,15
Appartements Casablanca,Oasis à Casablanca,33.56170473792227,-7.630379283521052,Appartement au RDC de 96m² en vente Résidence Les Palmiers,1540000.0,"['96 m²', '3 Pièces', '2 Chambres', '1 Salle de bain', 'Nouveau']",5,96.0,3.0,2.0,1.0,Nouveau,3.0,15
Appartements Casablanca,Oasis à Casablanca,33.56170473792227,-7.630379283521052,Appartement de 59m² en vente Résidence Les Palmiers,1239000.0,"['59 m²', '3 Pièces', '2 Chambres', '1 Salle de bain', 'Nouveau', '1er étage']",6,59.0,3.0,2.0,1.0,Nouveau,1.0,15
Appartements Casablanca,Oasis à Casablanca,33.56170473792227,-7.630379283521052,Appartement de 59m² en vente Résidence Les Palmiers,1239000.0,"['59 m²', '2 Pièces', '1 Chambre', '1 Salle de bain', 'Nouveau', '1er étage']",6,59.0,2.0,1.0,1.0,Nouveau,1.0,15
Appartements Casablanca,Oasis à Casablanca,33.56170473792227,-7.630379283521052,Appartement de 56m² en vente Résidence Les Palmiers,1176000.0,"['56 m²', '2 Pièces', '1 Chambre', '1 Salle de bain', 'Nouveau', '1er étage']",6,56.0,2.0,1.0,1.0,Nouveau,1.0,15
Appartements Casablanca,La Gironde à Casablanca,33.56170473792227,-7.630379283521052,"Appartement de 90 m² en vente, Résidence Shangai",1035000.0,"['90 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Nouveau', '5ème étage']",6,90.0,4.0,3.0,2.0,Nouveau,5.0,15
Appartements Casablanca,Hay Lmkansa à Casablanca,33.57971305450377,-7.606980800628662,Vend appartement à Hay Lmkansa. 3 pièces confortables. Parking et terrasse,4558824.761494253,"['82 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Nouveau', '1-5 ans', '3ème étage']",7,82.0,3.0,2.0,2.0,Nouveau,3.0,3
Villas & maisons de luxe Casablanca,CIL (Hay Salam) à Casablanca,33.57243690885356,-7.657556533813477,Villa commercial dune superficie de 400m2 au cil,10400000.0,"['400 m²', '3 Pièces', '5 Chambres', '3 Salles de bains', 'À rénover', '20-30 ans']",6,400.0,3.0,5.0,3.0,À rénover,3.0,25
Villas & maisons de luxe Casablanca,Racine Extension à Casablanca,33.59056356209817,-7.640819549560547,"Magnifique villa à vendre à Racine Extension. 5 pièces confortables. Porte blindée, salon marocain",3400000.0,"['122 m²', '5 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état', '20-30 ans']",6,122.0,5.0,3.0,2.0,Bon état,3.0,25
Villas & maisons de luxe Casablanca,Les Crêtes à Casablanca,33.56170473792227,-7.630379283521052,"Magnifique villa à vendre à Les Crêtes. 4 chambres. Piscine, climatisation",9000000.0,"['800 m²', '5 Pièces', '4 Chambres', '3 Salles de bains', 'Bon état']",5,800.0,5.0,4.0,3.0,Bon état,3.0,15
Villas & maisons de luxe Casablanca,Sidi Maarouf à Casablanca,33.51821300640254,-7.644338607788086,Villa 330m2 Moderne A Islan,3900000.0,"['330 m²', '6 Pièces', '5 Chambres', '4 Salles de bains', 'Bon état']",5,330.0,6.0,5.0,4.0,Bon état,3.0,15
Appartements Casablanca,Val Fleury à Casablanca,33.57519011717882,-7.636785507202148,Appartement 77m Haut Standing A Val Fleuri Maarif,1030000.0,"['77 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Bon état']",5,77.0,3.0,2.0,2.0,Bon état,3.0,15
Appartements Casablanca,Les princesses à Casablanca,33.56170473792227,-7.630379283521052,Appartement 150m Haut Standing A Les Princesses,2200000.0,"['150 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Bon état']",5,150.0,4.0,3.0,3.0,Bon état,3.0,15
Appartements Casablanca,Maârif Extension à Casablanca,33.56170473792227,-7.630379283521052,Vente d'un bel appartement à Casablanca. 3 chambres. Ascenseur et stationnement,1650000.0,"['113 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Nouveau']",5,113.0,4.0,3.0,2.0,Nouveau,3.0,15
Appartements Casablanca,Les princesses à Casablanca,33.57154299116339,-7.636313438415527,Appartement 121m Haut Standing A Les Princesses,1810000.0,"['121 m²', '4 Pièces', '2 Chambres', '2 Salles de bains', 'Bon état']",5,121.0,4.0,2.0,2.0,Bon état,3.0,15
Appartements Casablanca,Les princesses à Casablanca,33.57154299116339,-7.636313438415527,Appartement 131m Haut Standing A Les Princesses,1950000.0,"['131 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état']",5,131.0,4.0,3.0,2.0,Bon état,3.0,15
Appartements Casablanca,Les princesses à Casablanca,33.56170473792227,-7.630379283521052,Appartement 130m Neuf Luxe A Les Princesses,2500000.0,"['130 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Nouveau']",5,130.0,4.0,3.0,2.0,Nouveau,3.0,15
Appartements Casablanca,Les Hôpitaux à Casablanca,33.56170473792227,-7.630379283521052,Appartement 155m Meublé Proche Pasteur,1700000.0,"['155 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état']",5,155.0,4.0,3.0,2.0,Bon état,3.0,15
Appartements Casablanca,Maârif à Casablanca,33.58602331802259,-7.636442184448242,Studio 59m Neuf Prés BD Biranzaran,920000.0,"['59 m²', '2 Pièces', '1 Chambre', '2 Salles de bains', 'Nouveau']",5,59.0,2.0,1.0,2.0,Nouveau,3.0,15
Appartements Casablanca,Val Fleury à Casablanca,33.56170473792227,-7.630379283521052,Vend appartement 121m Luxe A Val Fleuri,1550000.0,"['121 m²', '3 Pièces', '2 Chambres', '1 Salle de bain', 'Bon état', '5-10 ans']",6,121.0,3.0,2.0,1.0,Bon état,3.0,7
Appartements Casablanca,Ain Diab à Casablanca,33.56170473792227,-7.630379283521052,Plusieurs appartements de luxe à vendre,4500000.0,"['238 m²', '4 Pièces', '3 Chambres', '4 Salles de bains', 'Nouveau', ""Moins d'un an"", '3ème étage']",7,238.0,4.0,3.0,4.0,Nouveau,3.0,0
